stop_id,stop_name,trip_id,arrival_time,departure_time,stop_sequence,route_id,shape_dist_traveled
59,Hauz Khas,15356,07:09:33,07:09:53,13,upward,16891.973
81,Botanical Garden,15357,06:40:30,06:40:50,0,upward,0.0
161,Okhla Bird Sanctuary,15357,06:44:22,06:44:42,1,upward,2003.493
162,Kalindi Kunj,15357,06:47:17,06:47:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15357,06:50:49,06:51:09,3,upward,5593.097
164,Okhla Vihar,15357,06:54:10,06:54:30,4,upward,7428.589
165,Jamia Millia Islamia,15357,06:56:57,06:57:17,5,upward,8372.665
166,Sukhdev Vihar,15357,06:59:50,07:00:10,6,upward,9604.107
167,Okhla NSIC,15357,07:02:28,07:02:48,7,upward,10754.323
131,Kalkaji Mandir,15357,07:04:45,07:05:05,8,upward,11547.502
182,Nehru Enclave,15357,07:06:41,07:07:01,9,upward,12378.613
183,Greater Kailash,15357,07:09:20,07:09:40,10,upward,13737.647
184,Chirag Delhi,15357,07:11:25,07:11:45,11,upward,14563.604
185,Panchsheel Park,15357,07:13:29,07:13:49,12,upward,15478.074
59,Hauz Khas,15357,07:16:18,07:16:38,13,upward,16891.973
81,Botanical Garden,15358,06:47:15,06:47:35,0,upward,0.0
161,Okhla Bird Sanctuary,15358,06:51:07,06:51:27,1,upward,2003.493
162,Kalindi Kunj,15358,06:54:02,06:54:22,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15358,06:57:34,06:57:54,3,upward,5593.097
164,Okhla Vihar,15358,07:00:55,07:01:15,4,upward,7428.589
165,Jamia Millia Islamia,15358,07:03:42,07:04:02,5,upward,8372.665
166,Sukhdev Vihar,15358,07:06:35,07:06:55,6,upward,9604.107
167,Okhla NSIC,15358,07:09:13,07:09:33,7,upward,10754.323
131,Kalkaji Mandir,15358,07:11:30,07:11:50,8,upward,11547.502
182,Nehru Enclave,15358,07:13:26,07:13:46,9,upward,12378.613
183,Greater Kailash,15358,07:16:05,07:16:25,10,upward,13737.647
184,Chirag Delhi,15358,07:18:10,07:18:30,11,upward,14563.604
185,Panchsheel Park,15358,07:20:14,07:20:34,12,upward,15478.074
59,Hauz Khas,15358,07:23:03,07:23:23,13,upward,16891.973
81,Botanical Garden,15359,06:54:00,06:54:20,0,upward,0.0
161,Okhla Bird Sanctuary,15359,06:57:52,06:58:12,1,upward,2003.493
162,Kalindi Kunj,15359,07:00:47,07:01:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15359,07:04:19,07:04:39,3,upward,5593.097
164,Okhla Vihar,15359,07:07:40,07:08:00,4,upward,7428.589
165,Jamia Millia Islamia,15359,07:10:27,07:10:47,5,upward,8372.665
166,Sukhdev Vihar,15359,07:13:20,07:13:40,6,upward,9604.107
167,Okhla NSIC,15359,07:15:58,07:16:18,7,upward,10754.323
131,Kalkaji Mandir,15359,07:18:15,07:18:35,8,upward,11547.502
182,Nehru Enclave,15359,07:20:11,07:20:31,9,upward,12378.613
183,Greater Kailash,15359,07:22:50,07:23:10,10,upward,13737.647
184,Chirag Delhi,15359,07:24:55,07:25:15,11,upward,14563.604
185,Panchsheel Park,15359,07:26:59,07:27:19,12,upward,15478.074
59,Hauz Khas,15359,07:29:48,07:30:08,13,upward,16891.973
81,Botanical Garden,15360,07:00:45,07:01:05,0,upward,0.0
161,Okhla Bird Sanctuary,15360,07:04:37,07:04:57,1,upward,2003.493
162,Kalindi Kunj,15360,07:07:32,07:07:52,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15360,07:11:04,07:11:24,3,upward,5593.097
164,Okhla Vihar,15360,07:14:25,07:14:45,4,upward,7428.589
165,Jamia Millia Islamia,15360,07:17:12,07:17:32,5,upward,8372.665
166,Sukhdev Vihar,15360,07:20:05,07:20:25,6,upward,9604.107
167,Okhla NSIC,15360,07:22:43,07:23:03,7,upward,10754.323
131,Kalkaji Mandir,15360,07:25:00,07:25:20,8,upward,11547.502
182,Nehru Enclave,15360,07:26:56,07:27:16,9,upward,12378.613
183,Greater Kailash,15360,07:29:35,07:29:55,10,upward,13737.647
184,Chirag Delhi,15360,07:31:40,07:32:00,11,upward,14563.604
185,Panchsheel Park,15360,07:33:44,07:34:04,12,upward,15478.074
59,Hauz Khas,15360,07:36:33,07:36:53,13,upward,16891.973
81,Botanical Garden,15361,07:07:30,07:07:50,0,upward,0.0
161,Okhla Bird Sanctuary,15361,07:11:22,07:11:42,1,upward,2003.493
162,Kalindi Kunj,15361,07:14:17,07:14:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15361,07:17:49,07:18:09,3,upward,5593.097
164,Okhla Vihar,15361,07:21:10,07:21:30,4,upward,7428.589
165,Jamia Millia Islamia,15361,07:23:57,07:24:17,5,upward,8372.665
166,Sukhdev Vihar,15361,07:26:50,07:27:10,6,upward,9604.107
167,Okhla NSIC,15361,07:29:28,07:29:48,7,upward,10754.323
131,Kalkaji Mandir,15361,07:31:45,07:32:05,8,upward,11547.502
182,Nehru Enclave,15361,07:33:41,07:34:01,9,upward,12378.613
183,Greater Kailash,15361,07:36:20,07:36:40,10,upward,13737.647
184,Chirag Delhi,15361,07:38:25,07:38:45,11,upward,14563.604
185,Panchsheel Park,15361,07:40:29,07:40:49,12,upward,15478.074
59,Hauz Khas,15361,07:43:18,07:43:38,13,upward,16891.973
81,Botanical Garden,15362,07:14:15,07:14:35,0,upward,0.0
161,Okhla Bird Sanctuary,15362,07:18:07,07:18:27,1,upward,2003.493
162,Kalindi Kunj,15362,07:21:02,07:21:22,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15362,07:24:34,07:24:54,3,upward,5593.097
164,Okhla Vihar,15362,07:27:55,07:28:15,4,upward,7428.589
165,Jamia Millia Islamia,15362,07:30:42,07:31:02,5,upward,8372.665
166,Sukhdev Vihar,15362,07:33:35,07:33:55,6,upward,9604.107
167,Okhla NSIC,15362,07:36:13,07:36:33,7,upward,10754.323
131,Kalkaji Mandir,15362,07:38:30,07:38:50,8,upward,11547.502
182,Nehru Enclave,15362,07:40:26,07:40:46,9,upward,12378.613
183,Greater Kailash,15362,07:43:05,07:43:25,10,upward,13737.647
184,Chirag Delhi,15362,07:45:10,07:45:30,11,upward,14563.604
185,Panchsheel Park,15362,07:47:14,07:47:34,12,upward,15478.074
59,Hauz Khas,15362,07:50:03,07:50:23,13,upward,16891.973
81,Botanical Garden,15363,07:21:00,07:21:20,0,upward,0.0
161,Okhla Bird Sanctuary,15363,07:24:52,07:25:12,1,upward,2003.493
162,Kalindi Kunj,15363,07:27:47,07:28:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15363,07:31:19,07:31:39,3,upward,5593.097
164,Okhla Vihar,15363,07:34:40,07:35:00,4,upward,7428.589
165,Jamia Millia Islamia,15363,07:37:27,07:37:47,5,upward,8372.665
166,Sukhdev Vihar,15363,07:40:20,07:40:40,6,upward,9604.107
167,Okhla NSIC,15363,07:42:58,07:43:18,7,upward,10754.323
131,Kalkaji Mandir,15363,07:45:15,07:45:35,8,upward,11547.502
182,Nehru Enclave,15363,07:47:11,07:47:31,9,upward,12378.613
183,Greater Kailash,15363,07:49:50,07:50:10,10,upward,13737.647
184,Chirag Delhi,15363,07:51:55,07:52:15,11,upward,14563.604
185,Panchsheel Park,15363,07:53:59,07:54:19,12,upward,15478.074
59,Hauz Khas,15363,07:56:48,07:57:08,13,upward,16891.973
81,Botanical Garden,15364,07:27:45,07:28:05,0,upward,0.0
161,Okhla Bird Sanctuary,15364,07:31:37,07:31:57,1,upward,2003.493
162,Kalindi Kunj,15364,07:34:32,07:34:52,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15364,07:38:04,07:38:24,3,upward,5593.097
164,Okhla Vihar,15364,07:41:25,07:41:45,4,upward,7428.589
165,Jamia Millia Islamia,15364,07:44:12,07:44:32,5,upward,8372.665
166,Sukhdev Vihar,15364,07:47:05,07:47:25,6,upward,9604.107
167,Okhla NSIC,15364,07:49:43,07:50:03,7,upward,10754.323
131,Kalkaji Mandir,15364,07:52:00,07:52:20,8,upward,11547.502
182,Nehru Enclave,15364,07:53:56,07:54:16,9,upward,12378.613
183,Greater Kailash,15364,07:56:35,07:56:55,10,upward,13737.647
184,Chirag Delhi,15364,07:58:40,07:59:00,11,upward,14563.604
185,Panchsheel Park,15364,08:00:44,08:01:04,12,upward,15478.074
59,Hauz Khas,15364,08:03:33,08:03:53,13,upward,16891.973
81,Botanical Garden,15365,07:34:30,07:34:50,0,upward,0.0
161,Okhla Bird Sanctuary,15365,07:38:22,07:38:42,1,upward,2003.493
162,Kalindi Kunj,15365,07:41:17,07:41:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15365,07:44:49,07:45:09,3,upward,5593.097
164,Okhla Vihar,15365,07:48:10,07:48:30,4,upward,7428.589
165,Jamia Millia Islamia,15365,07:50:57,07:51:17,5,upward,8372.665
166,Sukhdev Vihar,15365,07:53:50,07:54:10,6,upward,9604.107
167,Okhla NSIC,15365,07:56:28,07:56:48,7,upward,10754.323
131,Kalkaji Mandir,15365,07:58:45,07:59:05,8,upward,11547.502
182,Nehru Enclave,15365,08:00:41,08:01:01,9,upward,12378.613
183,Greater Kailash,15365,08:03:20,08:03:40,10,upward,13737.647
184,Chirag Delhi,15365,08:05:25,08:05:45,11,upward,14563.604
185,Panchsheel Park,15365,08:07:29,08:07:49,12,upward,15478.074
59,Hauz Khas,15365,08:10:18,08:10:38,13,upward,16891.973
81,Botanical Garden,15366,07:41:15,07:41:35,0,upward,0.0
161,Okhla Bird Sanctuary,15366,07:45:07,07:45:27,1,upward,2003.493
162,Kalindi Kunj,15366,07:48:02,07:48:22,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15366,07:51:34,07:51:54,3,upward,5593.097
164,Okhla Vihar,15366,07:54:55,07:55:15,4,upward,7428.589
165,Jamia Millia Islamia,15366,07:57:42,07:58:02,5,upward,8372.665
166,Sukhdev Vihar,15366,08:00:35,08:00:55,6,upward,9604.107
167,Okhla NSIC,15366,08:03:13,08:03:33,7,upward,10754.323
131,Kalkaji Mandir,15366,08:05:30,08:05:50,8,upward,11547.502
182,Nehru Enclave,15366,08:07:26,08:07:46,9,upward,12378.613
183,Greater Kailash,15366,08:10:05,08:10:25,10,upward,13737.647
184,Chirag Delhi,15366,08:12:10,08:12:30,11,upward,14563.604
185,Panchsheel Park,15366,08:14:14,08:14:34,12,upward,15478.074
59,Hauz Khas,15366,08:17:03,08:17:23,13,upward,16891.973
81,Botanical Garden,15367,07:48:00,07:48:20,0,upward,0.0
161,Okhla Bird Sanctuary,15367,07:51:52,07:52:12,1,upward,2003.493
162,Kalindi Kunj,15367,07:54:47,07:55:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15367,07:58:19,07:58:39,3,upward,5593.097
164,Okhla Vihar,15367,08:01:40,08:02:00,4,upward,7428.589
165,Jamia Millia Islamia,15367,08:04:27,08:04:47,5,upward,8372.665
166,Sukhdev Vihar,15367,08:07:20,08:07:40,6,upward,9604.107
167,Okhla NSIC,15367,08:09:58,08:10:18,7,upward,10754.323
131,Kalkaji Mandir,15367,08:12:15,08:12:35,8,upward,11547.502
182,Nehru Enclave,15367,08:14:11,08:14:31,9,upward,12378.613
183,Greater Kailash,15367,08:16:50,08:17:10,10,upward,13737.647
184,Chirag Delhi,15367,08:18:55,08:19:15,11,upward,14563.604
185,Panchsheel Park,15367,08:20:59,08:21:19,12,upward,15478.074
59,Hauz Khas,15367,08:23:48,08:24:08,13,upward,16891.973
81,Botanical Garden,15368,07:54:45,07:55:05,0,upward,0.0
161,Okhla Bird Sanctuary,15368,07:58:37,07:58:57,1,upward,2003.493
162,Kalindi Kunj,15368,08:01:32,08:01:52,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15368,08:05:04,08:05:24,3,upward,5593.097
164,Okhla Vihar,15368,08:08:25,08:08:45,4,upward,7428.589
165,Jamia Millia Islamia,15368,08:11:12,08:11:32,5,upward,8372.665
166,Sukhdev Vihar,15368,08:14:05,08:14:25,6,upward,9604.107
167,Okhla NSIC,15368,08:16:43,08:17:03,7,upward,10754.323
131,Kalkaji Mandir,15368,08:19:00,08:19:20,8,upward,11547.502
182,Nehru Enclave,15368,08:20:56,08:21:16,9,upward,12378.613
183,Greater Kailash,15368,08:23:35,08:23:55,10,upward,13737.647
184,Chirag Delhi,15368,08:25:40,08:26:00,11,upward,14563.604
185,Panchsheel Park,15368,08:27:44,08:28:04,12,upward,15478.074
59,Hauz Khas,15368,08:30:33,08:30:53,13,upward,16891.973
81,Botanical Garden,15369,08:01:30,08:01:50,0,upward,0.0
161,Okhla Bird Sanctuary,15369,08:05:22,08:05:42,1,upward,2003.493
162,Kalindi Kunj,15369,08:08:17,08:08:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15369,08:11:49,08:12:09,3,upward,5593.097
164,Okhla Vihar,15369,08:15:10,08:15:30,4,upward,7428.589
165,Jamia Millia Islamia,15369,08:17:57,08:18:17,5,upward,8372.665
166,Sukhdev Vihar,15369,08:20:50,08:21:10,6,upward,9604.107
167,Okhla NSIC,15369,08:23:28,08:23:48,7,upward,10754.323
131,Kalkaji Mandir,15369,08:25:45,08:26:05,8,upward,11547.502
182,Nehru Enclave,15369,08:27:41,08:28:01,9,upward,12378.613
183,Greater Kailash,15369,08:30:20,08:30:40,10,upward,13737.647
184,Chirag Delhi,15369,08:32:25,08:32:45,11,upward,14563.604
185,Panchsheel Park,15369,08:34:29,08:34:49,12,upward,15478.074
59,Hauz Khas,15369,08:37:18,08:37:38,13,upward,16891.973
81,Botanical Garden,15370,08:06:40,08:07:00,0,upward,0.0
161,Okhla Bird Sanctuary,15370,08:10:32,08:10:52,1,upward,2003.493
162,Kalindi Kunj,15370,08:13:27,08:13:47,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15370,08:16:59,08:17:19,3,upward,5593.097
164,Okhla Vihar,15370,08:20:20,08:20:40,4,upward,7428.589
165,Jamia Millia Islamia,15370,08:23:07,08:23:27,5,upward,8372.665
166,Sukhdev Vihar,15370,08:26:00,08:26:20,6,upward,9604.107
167,Okhla NSIC,15370,08:28:38,08:28:58,7,upward,10754.323
131,Kalkaji Mandir,15370,08:30:55,08:31:15,8,upward,11547.502
182,Nehru Enclave,15370,08:32:51,08:33:11,9,upward,12378.613
183,Greater Kailash,15370,08:35:30,08:35:50,10,upward,13737.647
184,Chirag Delhi,15370,08:37:35,08:37:55,11,upward,14563.604
185,Panchsheel Park,15370,08:39:39,08:39:59,12,upward,15478.074
59,Hauz Khas,15370,08:42:28,08:42:48,13,upward,16891.973
81,Botanical Garden,15371,08:11:50,08:12:10,0,upward,0.0
161,Okhla Bird Sanctuary,15371,08:15:42,08:16:02,1,upward,2003.493
162,Kalindi Kunj,15371,08:18:37,08:18:57,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15371,08:22:09,08:22:29,3,upward,5593.097
164,Okhla Vihar,15371,08:25:30,08:25:50,4,upward,7428.589
165,Jamia Millia Islamia,15371,08:28:17,08:28:37,5,upward,8372.665
166,Sukhdev Vihar,15371,08:31:10,08:31:30,6,upward,9604.107
167,Okhla NSIC,15371,08:33:48,08:34:08,7,upward,10754.323
131,Kalkaji Mandir,15371,08:36:05,08:36:25,8,upward,11547.502
182,Nehru Enclave,15371,08:38:01,08:38:21,9,upward,12378.613
183,Greater Kailash,15371,08:40:40,08:41:00,10,upward,13737.647
184,Chirag Delhi,15371,08:42:45,08:43:05,11,upward,14563.604
185,Panchsheel Park,15371,08:44:49,08:45:09,12,upward,15478.074
59,Hauz Khas,15371,08:47:38,08:47:58,13,upward,16891.973
81,Botanical Garden,15372,08:17:00,08:17:20,0,upward,0.0
161,Okhla Bird Sanctuary,15372,08:20:52,08:21:12,1,upward,2003.493
162,Kalindi Kunj,15372,08:23:47,08:24:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15372,08:27:19,08:27:39,3,upward,5593.097
164,Okhla Vihar,15372,08:30:40,08:31:00,4,upward,7428.589
165,Jamia Millia Islamia,15372,08:33:27,08:33:47,5,upward,8372.665
166,Sukhdev Vihar,15372,08:36:20,08:36:40,6,upward,9604.107
167,Okhla NSIC,15372,08:38:58,08:39:18,7,upward,10754.323
131,Kalkaji Mandir,15372,08:41:15,08:41:35,8,upward,11547.502
182,Nehru Enclave,15372,08:43:11,08:43:31,9,upward,12378.613
183,Greater Kailash,15372,08:45:50,08:46:10,10,upward,13737.647
184,Chirag Delhi,15372,08:47:55,08:48:15,11,upward,14563.604
185,Panchsheel Park,15372,08:49:59,08:50:19,12,upward,15478.074
59,Hauz Khas,15372,08:52:48,08:53:08,13,upward,16891.973
81,Botanical Garden,15373,08:22:10,08:22:30,0,upward,0.0
161,Okhla Bird Sanctuary,15373,08:26:02,08:26:22,1,upward,2003.493
162,Kalindi Kunj,15373,08:28:57,08:29:17,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15373,08:32:29,08:32:49,3,upward,5593.097
164,Okhla Vihar,15373,08:35:50,08:36:10,4,upward,7428.589
165,Jamia Millia Islamia,15373,08:38:37,08:38:57,5,upward,8372.665
166,Sukhdev Vihar,15373,08:41:30,08:41:50,6,upward,9604.107
167,Okhla NSIC,15373,08:44:08,08:44:28,7,upward,10754.323
131,Kalkaji Mandir,15373,08:46:25,08:46:45,8,upward,11547.502
182,Nehru Enclave,15373,08:48:21,08:48:41,9,upward,12378.613
183,Greater Kailash,15373,08:51:00,08:51:20,10,upward,13737.647
184,Chirag Delhi,15373,08:53:05,08:53:25,11,upward,14563.604
185,Panchsheel Park,15373,08:55:09,08:55:29,12,upward,15478.074
59,Hauz Khas,15373,08:57:58,08:58:18,13,upward,16891.973
81,Botanical Garden,15374,08:27:20,08:27:40,0,upward,0.0
161,Okhla Bird Sanctuary,15374,08:31:12,08:31:32,1,upward,2003.493
162,Kalindi Kunj,15374,08:34:07,08:34:27,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15374,08:37:39,08:37:59,3,upward,5593.097
164,Okhla Vihar,15374,08:41:00,08:41:20,4,upward,7428.589
165,Jamia Millia Islamia,15374,08:43:47,08:44:07,5,upward,8372.665
166,Sukhdev Vihar,15374,08:46:40,08:47:00,6,upward,9604.107
167,Okhla NSIC,15374,08:49:18,08:49:38,7,upward,10754.323
131,Kalkaji Mandir,15374,08:51:35,08:51:55,8,upward,11547.502
182,Nehru Enclave,15374,08:53:31,08:53:51,9,upward,12378.613
183,Greater Kailash,15374,08:56:10,08:56:30,10,upward,13737.647
184,Chirag Delhi,15374,08:58:15,08:58:35,11,upward,14563.604
185,Panchsheel Park,15374,09:00:19,09:00:39,12,upward,15478.074
59,Hauz Khas,15374,09:03:08,09:03:28,13,upward,16891.973
81,Botanical Garden,15375,08:32:30,08:32:50,0,upward,0.0
161,Okhla Bird Sanctuary,15375,08:36:22,08:36:42,1,upward,2003.493
162,Kalindi Kunj,15375,08:39:17,08:39:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15375,08:42:49,08:43:09,3,upward,5593.097
164,Okhla Vihar,15375,08:46:10,08:46:30,4,upward,7428.589
165,Jamia Millia Islamia,15375,08:48:57,08:49:17,5,upward,8372.665
166,Sukhdev Vihar,15375,08:51:50,08:52:10,6,upward,9604.107
167,Okhla NSIC,15375,08:54:28,08:54:48,7,upward,10754.323
131,Kalkaji Mandir,15375,08:56:45,08:57:05,8,upward,11547.502
182,Nehru Enclave,15375,08:58:41,08:59:01,9,upward,12378.613
183,Greater Kailash,15375,09:01:20,09:01:40,10,upward,13737.647
184,Chirag Delhi,15375,09:03:25,09:03:45,11,upward,14563.604
185,Panchsheel Park,15375,09:05:29,09:05:49,12,upward,15478.074
59,Hauz Khas,15375,09:08:18,09:08:38,13,upward,16891.973
81,Botanical Garden,15376,08:37:40,08:38:00,0,upward,0.0
161,Okhla Bird Sanctuary,15376,08:41:32,08:41:52,1,upward,2003.493
162,Kalindi Kunj,15376,08:44:27,08:44:47,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15376,08:47:59,08:48:19,3,upward,5593.097
164,Okhla Vihar,15376,08:51:20,08:51:40,4,upward,7428.589
165,Jamia Millia Islamia,15376,08:54:07,08:54:27,5,upward,8372.665
166,Sukhdev Vihar,15376,08:57:00,08:57:20,6,upward,9604.107
167,Okhla NSIC,15376,08:59:38,08:59:58,7,upward,10754.323
131,Kalkaji Mandir,15376,09:01:55,09:02:15,8,upward,11547.502
182,Nehru Enclave,15376,09:03:51,09:04:11,9,upward,12378.613
183,Greater Kailash,15376,09:06:30,09:06:50,10,upward,13737.647
184,Chirag Delhi,15376,09:08:35,09:08:55,11,upward,14563.604
185,Panchsheel Park,15376,09:10:39,09:10:59,12,upward,15478.074
59,Hauz Khas,15376,09:13:28,09:13:48,13,upward,16891.973
81,Botanical Garden,15377,08:42:50,08:43:10,0,upward,0.0
161,Okhla Bird Sanctuary,15377,08:46:42,08:47:02,1,upward,2003.493
162,Kalindi Kunj,15377,08:49:37,08:49:57,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15377,08:53:09,08:53:29,3,upward,5593.097
164,Okhla Vihar,15377,08:56:30,08:56:50,4,upward,7428.589
165,Jamia Millia Islamia,15377,08:59:17,08:59:37,5,upward,8372.665
166,Sukhdev Vihar,15377,09:02:10,09:02:30,6,upward,9604.107
167,Okhla NSIC,15377,09:04:48,09:05:08,7,upward,10754.323
